Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 -0.781	 0	 -0.99	 -0.773927	 -8.43411e-005	 -0.973531	 -0.766743	 -0.000211662	 -0.95711	 -0.759579	 -0.000413995	 -0.940682	 -0.752485	 -0.000535713	 -0.924222	 -0.745371	 -0.000544385	 -0.907771	 1.75822	 1.7582	 1.75817	 1.75815	 1.75815	 
0.01	 -0.781	 0	 -0.99	 -0.773843	 -7.60417e-005	 -0.973561	 -0.766726	 -0.000241128	 -0.957105	 -0.75963	 -0.000397668	 -0.94064	 -0.752492	 -0.0004904	 -0.924193	 -0.745326	 -0.000584387	 -0.907758	 1.75909	 1.75908	 1.75909	 1.75909	 1.75906	 
0.02	 -0.781	 0	 -0.99	 -0.773781	 -0.000133858	 -0.973588	 -0.766733	 -0.000257502	 -0.957101	 -0.759669	 -0.000344524	 -0.940622	 -0.752488	 -0.000462467	 -0.924194	 -0.745314	 -0.000635558	 -0.907762	 1.7592	 1.75915	 1.75909	 1.75911	 1.75926	 
0.03	 -0.781	 0	 -0.99	 -0.773845	 -0.000205041	 -0.973557	 -0.766707	 -0.000240763	 -0.957105	 -0.759627	 -0.000302915	 -0.940628	 -0.752495	 -0.000483248	 -0.924175	 -0.745277	 -0.000644623	 -0.907759	 1.75969	 1.75969	 1.7597	 1.75969	 1.75972	 
0.04	 -0.781	 0	 -0.99	 -0.773899	 -0.000148958	 -0.973531	 -0.766746	 -0.000259707	 -0.957084	 -0.759584	 -0.000327218	 -0.940641	 -0.752459	 -0.000450296	 -0.924183	 -0.745347	 -0.000638714	 -0.90772	 1.75996	 1.75993	 1.75991	 1.75986	 1.75986	 
0.05	 -0.781	 0	 -0.99	 -0.773896	 -9.11275e-005	 -0.973532	 -0.766739	 -0.000251528	 -0.957088	 -0.75951	 -0.000392755	 -0.940676	 -0.752378	 -0.000487253	 -0.924221	 -0.745362	 -0.00060032	 -0.907717	 1.75989	 1.75986	 1.75984	 1.7598	 1.7598	 
0.06	 -0.781	 0	 -0.99	 -0.773915	 -8.09141e-005	 -0.973526	 -0.766706	 -0.000207986	 -0.957107	 -0.759529	 -0.000414958	 -0.940675	 -0.752443	 -0.000536885	 -0.924202	 -0.745334	 -0.000538214	 -0.90774	 1.75957	 1.75955	 1.75951	 1.75948	 1.75947	 
0.07	 -0.781	 0	 -0.99	 -0.773838	 -6.50579e-005	 -0.973563	 -0.76671	 -0.000239081	 -0.957113	 -0.759598	 -0.000403285	 -0.940655	 -0.752455	 -0.000486252	 -0.924211	 -0.745293	 -0.00056891	 -0.907775	 1.75908	 1.75905	 1.75902	 1.75898	 1.75895	 
0.08	 -0.781	 0	 -0.99	 -0.773776	 -0.000127189	 -0.973595	 -0.766725	 -0.000252807	 -0.957114	 -0.759651	 -0.000344868	 -0.940644	 -0.752452	 -0.000458565	 -0.924228	 -0.745263	 -0.000621597	 -0.907808	 1.75855	 1.75851	 1.75849	 1.75845	 1.75841	 
