Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 0.381	 -0.678	 -0.99	 0.377669	 -0.67177	 -0.973767	 0.374392	 -0.665513	 -0.957535	 0.371182	 -0.659226	 -0.9413	 0.367887	 -0.652972	 -0.92507	 0.364491	 -0.646761	 -0.908844	 1.72466	 1.72464	 1.72462	 1.7246	 1.72458	 
0.01	 0.381	 -0.678	 -0.99	 0.377624	 -0.67175	 -0.973785	 0.374418	 -0.665505	 -0.957533	 0.371213	 -0.659246	 -0.941287	 0.367869	 -0.652983	 -0.925071	 0.364504	 -0.646733	 -0.908854	 1.72463	 1.72461	 1.72457	 1.72455	 1.72452	 
0.02	 0.381	 -0.678	 -0.99	 0.377693	 -0.671727	 -0.97378	 0.374425	 -0.665476	 -0.957543	 0.37115	 -0.659261	 -0.941294	 0.36785	 -0.653014	 -0.925063	 0.364555	 -0.646716	 -0.908851	 1.72461	 1.72458	 1.72456	 1.72451	 1.72448	 
0.03	 0.381	 -0.678	 -0.99	 0.377795	 -0.671711	 -0.973766	 0.374425	 -0.665487	 -0.957541	 0.371074	 -0.659267	 -0.941311	 0.367848	 -0.653005	 -0.925072	 0.364618	 -0.646737	 -0.908836	 1.72447	 1.72444	 1.7244	 1.72437	 1.72434	 
0.04	 0.381	 -0.678	 -0.99	 0.377777	 -0.671749	 -0.973758	 0.374451	 -0.665503	 -0.957534	 0.371066	 -0.659246	 -0.941327	 0.367798	 -0.65299	 -0.925096	 0.364631	 -0.64675	 -0.908839	 1.72414	 1.72411	 1.7241	 1.72404	 1.72406	 
0.05	 0.381	 -0.678	 -0.99	 0.377731	 -0.671794	 -0.973753	 0.374468	 -0.665506	 -0.957537	 0.371174	 -0.659224	 -0.941325	 0.367882	 -0.652993	 -0.925093	 0.364618	 -0.646757	 -0.908857	 1.72364	 1.72361	 1.72358	 1.72354	 1.72353	 
0.06	 0.381	 -0.678	 -0.99	 0.377672	 -0.671771	 -0.973779	 0.374412	 -0.665513	 -0.957555	 0.371227	 -0.659233	 -0.941325	 0.367938	 -0.652987	 -0.925102	 0.364533	 -0.646776	 -0.908891	 1.72298	 1.72295	 1.72293	 1.7229	 1.72289	 
0.07	 0.381	 -0.678	 -0.99	 0.377637	 -0.671738	 -0.973804	 0.374436	 -0.665504	 -0.957566	 0.371243	 -0.659262	 -0.941328	 0.367913	 -0.653008	 -0.925123	 0.364551	 -0.646766	 -0.908921	 1.72215	 1.72212	 1.72209	 1.72206	 1.72204	 
0.08	 0.381	 -0.678	 -0.99	 0.377713	 -0.671734	 -0.973797	 0.374459	 -0.665492	 -0.957579	 0.371179	 -0.659286	 -0.941353	 0.367891	 -0.65304	 -0.925144	 0.364632	 -0.646739	 -0.90895	 1.72116	 1.72113	 1.7211	 1.72106	 1.72103	 
