Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 0.363218	 0.647176	 -0.907781	 0.347359	 0.61965	 -0.834337	 0.331502	 0.592152	 -0.760882	 0.315661	 0.564664	 -0.687419	 0.299828	 0.537192	 -0.61395	 0.28401	 0.509746	 -0.540467	 0.268196	 0.482311	 -0.466979	 0.252395	 0.454915	 -0.393474	 0.236602	 0.427508	 -0.319971	 0.22083	 0.400146	 -0.246447	 0.205056	 0.37279	 -0.172921	 1.75788	 1.7591	 1.76032	 1.76153	 1.76275	 1.76396	 1.76518	 1.76639	 1.76761	 1.76883	 
0.01	 0.363287	 0.647141	 -0.907791	 0.347357	 0.619665	 -0.834344	 0.331507	 0.59215	 -0.760894	 0.315652	 0.564668	 -0.687432	 0.299822	 0.53721	 -0.613957	 0.283996	 0.509748	 -0.540481	 0.268191	 0.482331	 -0.466985	 0.2524	 0.454921	 -0.393483	 0.236626	 0.427516	 -0.319975	 0.220872	 0.400153	 -0.246448	 0.205119	 0.372794	 -0.172918	 1.75742	 1.7586	 1.75978	 1.76096	 1.76215	 1.76334	 1.76454	 1.76574	 1.76694	 1.76816	 
0.02	 0.363281	 0.64716	 -0.907786	 0.347356	 0.619665	 -0.834345	 0.331514	 0.592149	 -0.760893	 0.31567	 0.564667	 -0.687429	 0.299855	 0.537209	 -0.613951	 0.284041	 0.509744	 -0.540474	 0.26823	 0.482333	 -0.466976	 0.252407	 0.454912	 -0.393485	 0.236621	 0.427522	 -0.319974	 0.220874	 0.40015	 -0.246448	 0.205119	 0.372794	 -0.172918	 1.75873	 1.76131	 1.76384	 1.76628	 1.7686	 1.77078	 1.77279	 1.77462	 1.77625	 1.77768	 
0.03	 0.363274	 0.647203	 -0.907784	 0.347398	 0.619656	 -0.834351	 0.33155	 0.592154	 -0.760896	 0.315695	 0.564674	 -0.687434	 0.299854	 0.537198	 -0.613967	 0.284062	 0.509753	 -0.540478	 0.268274	 0.482321	 -0.466984	 0.25248	 0.45491	 -0.393482	 0.236711	 0.427524	 -0.319967	 0.220944	 0.400152	 -0.246445	 0.205189	 0.372801	 -0.172913	 1.75719	 1.75843	 1.75967	 1.76091	 1.76214	 1.76337	 1.7646	 1.76583	 1.76705	 1.76827	 
0.04	 0.363203	 0.647214	 -0.907807	 0.347401	 0.619652	 -0.834364	 0.331574	 0.59215	 -0.760904	 0.315758	 0.564669	 -0.687434	 0.299928	 0.537192	 -0.613965	 0.284136	 0.509766	 -0.540469	 0.268334	 0.482323	 -0.466982	 0.252549	 0.454922	 -0.393475	 0.236784	 0.427532	 -0.31996	 0.221015	 0.40016	 -0.246439	 0.205266	 0.372809	 -0.172906	 1.7568	 1.75801	 1.75922	 1.76043	 1.76165	 1.76286	 1.76408	 1.76529	 1.76651	 1.76772	 
0.05	 0.363206	 0.647202	 -0.907822	 0.347433	 0.619668	 -0.834363	 0.331596	 0.592165	 -0.760905	 0.315788	 0.564673	 -0.687437	 0.299983	 0.537213	 -0.613957	 0.284187	 0.509767	 -0.540469	 0.268394	 0.482335	 -0.466976	 0.252618	 0.454924	 -0.393471	 0.236852	 0.427541	 -0.319953	 0.221089	 0.400166	 -0.246432	 0.205345	 0.372816	 -0.172898	 1.75655	 1.75777	 1.75899	 1.76022	 1.76144	 1.76266	 1.76388	 1.76509	 1.76631	 1.76753	 
0.06	 0.36325	 0.647188	 -0.90783	 0.347451	 0.619683	 -0.834365	 0.331649	 0.59218	 -0.7609	 0.315833	 0.564678	 -0.687438	 0.300024	 0.537232	 -0.613953	 0.284208	 0.509772	 -0.540475	 0.268434	 0.482349	 -0.466974	 0.252675	 0.454935	 -0.393466	 0.236912	 0.427551	 -0.319949	 0.22116	 0.400175	 -0.246425	 0.205422	 0.372822	 -0.172891	 1.75618	 1.7574	 1.75861	 1.75982	 1.76104	 1.76225	 1.76347	 1.76468	 1.7659	 1.76711	 
0.07	 0.363341	 0.647171	 -0.907831	 0.347442	 0.619681	 -0.834382	 0.331635	 0.592182	 -0.760917	 0.315823	 0.564692	 -0.687449	 0.300031	 0.537236	 -0.613965	 0.284252	 0.509791	 -0.540473	 0.2685	 0.482354	 -0.466973	 0.25274	 0.454951	 -0.393461	 0.23696	 0.427553	 -0.319952	 0.221212	 0.400182	 -0.246426	 0.205492	 0.372826	 -0.172889	 1.75568	 1.75688	 1.75808	 1.75928	 1.76049	 1.76169	 1.7629	 1.76411	 1.76532	 1.76653	 
0.08	 0.36336	 0.647197	 -0.907837	 0.347459	 0.619688	 -0.834396	 0.331655	 0.592179	 -0.760934	 0.315862	 0.564705	 -0.687456	 0.300058	 0.537223	 -0.613983	 0.284277	 0.509789	 -0.540488	 0.268512	 0.48235	 -0.466991	 0.252756	 0.454952	 -0.393477	 0.237002	 0.427555	 -0.319962	 0.221268	 0.400182	 -0.246434	 0.205551	 0.372827	 -0.172895	 1.7552	 1.7564	 1.7576	 1.7588	 1.76001	 1.76121	 1.76242	 1.76363	 1.76485	 1.76606	 
