Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 0.364491	 -0.646761	 -0.908844	 0.3497	 -0.618494	 -0.835459	 0.33483	 -0.59026	 -0.762077	 0.319996	 -0.562047	 -0.68868	 0.305174	 -0.533865	 -0.615269	 0.290351	 -0.505672	 -0.541862	 0.275543	 -0.477535	 -0.46843	 0.260744	 -0.449396	 -0.394998	 0.245955	 -0.421287	 -0.321551	 0.231173	 -0.393194	 -0.248097	 0.216406	 -0.365121	 -0.174633	 1.7251	 1.72631	 1.72751	 1.72872	 1.72993	 1.73114	 1.73236	 1.73357	 1.73478	 1.736	 
0.01	 0.364504	 -0.646733	 -0.908854	 0.349714	 -0.618493	 -0.835458	 0.334851	 -0.59025	 -0.762079	 0.320011	 -0.562038	 -0.688682	 0.305186	 -0.53386	 -0.61527	 0.290357	 -0.505676	 -0.541861	 0.275548	 -0.477532	 -0.468432	 0.260765	 -0.449401	 -0.394993	 0.245996	 -0.421277	 -0.321549	 0.231236	 -0.393195	 -0.248086	 0.216485	 -0.365117	 -0.174621	 1.72509	 1.7263	 1.72751	 1.72872	 1.72993	 1.73114	 1.73236	 1.73357	 1.73478	 1.736	 
0.02	 0.364555	 -0.646716	 -0.908851	 0.349705	 -0.618492	 -0.835461	 0.334857	 -0.590253	 -0.762076	 0.320025	 -0.562041	 -0.688679	 0.305219	 -0.533849	 -0.615268	 0.290414	 -0.50568	 -0.541848	 0.275598	 -0.47752	 -0.468427	 0.26078	 -0.449402	 -0.39499	 0.245985	 -0.421276	 -0.321552	 0.231238	 -0.393195	 -0.248086	 0.216485	 -0.365117	 -0.174621	 1.72529	 1.7267	 1.72811	 1.72951	 1.73089	 1.73224	 1.73358	 1.73488	 1.73616	 1.73741	 
0.03	 0.364618	 -0.646737	 -0.908836	 0.349728	 -0.618493	 -0.835462	 0.334892	 -0.590258	 -0.762073	 0.320036	 -0.56205	 -0.688679	 0.305197	 -0.533852	 -0.615277	 0.290407	 -0.505686	 -0.541853	 0.275632	 -0.477524	 -0.468424	 0.260844	 -0.449391	 -0.394987	 0.246075	 -0.421282	 -0.321537	 0.231309	 -0.393184	 -0.248082	 0.216564	 -0.36511	 -0.174614	 1.7249	 1.72611	 1.72732	 1.72853	 1.72974	 1.73095	 1.73216	 1.73337	 1.73458	 1.7358	 
0.04	 0.364631	 -0.64675	 -0.908839	 0.349703	 -0.618497	 -0.835477	 0.334899	 -0.590257	 -0.762084	 0.320086	 -0.562051	 -0.68868	 0.305263	 -0.533858	 -0.615273	 0.290472	 -0.505686	 -0.541851	 0.275686	 -0.477534	 -0.468421	 0.260906	 -0.449383	 -0.394989	 0.246152	 -0.421287	 -0.321531	 0.231382	 -0.393172	 -0.248083	 0.21664	 -0.365102	 -0.174613	 1.72463	 1.72583	 1.72704	 1.72824	 1.72945	 1.73066	 1.73186	 1.73307	 1.73429	 1.7355	 
0.05	 0.364618	 -0.646757	 -0.908857	 0.349738	 -0.6185	 -0.835486	 0.334928	 -0.590265	 -0.762093	 0.320133	 -0.562046	 -0.68869	 0.305334	 -0.533854	 -0.615278	 0.29054	 -0.505677	 -0.541859	 0.275743	 -0.477523	 -0.468431	 0.260969	 -0.449385	 -0.394993	 0.246208	 -0.421278	 -0.321541	 0.23145	 -0.393169	 -0.248088	 0.216711	 -0.365094	 -0.174619	 1.7241	 1.72531	 1.72651	 1.72771	 1.72892	 1.73012	 1.73133	 1.73254	 1.73375	 1.73496	 
0.06	 0.364533	 -0.646776	 -0.908891	 0.349798	 -0.61849	 -0.835502	 0.335002	 -0.590268	 -0.7621	 0.320187	 -0.562038	 -0.688706	 0.305369	 -0.533852	 -0.615295	 0.290563	 -0.505676	 -0.541878	 0.275789	 -0.477507	 -0.468452	 0.261042	 -0.449386	 -0.395002	 0.246277	 -0.421252	 -0.321561	 0.231523	 -0.393163	 -0.2481	 0.216775	 -0.365088	 -0.174632	 1.72336	 1.72455	 1.72575	 1.72694	 1.72814	 1.72934	 1.73054	 1.73175	 1.73296	 1.73417	 
0.07	 0.364551	 -0.646766	 -0.908921	 0.349794	 -0.618494	 -0.835531	 0.334978	 -0.590269	 -0.762135	 0.320171	 -0.56204	 -0.688739	 0.305386	 -0.533847	 -0.615324	 0.29062	 -0.505669	 -0.5419	 0.275866	 -0.477504	 -0.468468	 0.261091	 -0.449386	 -0.395022	 0.246298	 -0.421256	 -0.321585	 0.231549	 -0.393165	 -0.248124	 0.216832	 -0.365085	 -0.174652	 1.72256	 1.72376	 1.72496	 1.72616	 1.72736	 1.72856	 1.72977	 1.73098	 1.73218	 1.7334	 
0.08	 0.364632	 -0.646739	 -0.90895	 0.349805	 -0.618517	 -0.835555	 0.334987	 -0.590268	 -0.762168	 0.320188	 -0.562061	 -0.688762	 0.305384	 -0.533857	 -0.615355	 0.290603	 -0.505674	 -0.541936	 0.275847	 -0.477521	 -0.4685	 0.261087	 -0.449375	 -0.395063	 0.246346	 -0.421265	 -0.321607	 0.231614	 -0.393158	 -0.248149	 0.216881	 -0.365084	 -0.174678	 1.72158	 1.72278	 1.72398	 1.72518	 1.72638	 1.72759	 1.7288	 1.73	 1.73122	 1.73243	 
